gene,tissue,min_p
ENSG00000197728,Lung,6.19236e-217
ENSG00000186470,Lung,1.52518e-135
ENSG00000101751,Lung,4.3048e-79
ENSG00000167914,Lung,1.10405e-72
ENSG00000237975,Lung,5.29762e-64
ENSG00000115602,Lung,1.89454e-56
ENSG00000180902,Lung,2.33456e-51
ENSG00000167077,Lung,1.77696e-43
ENSG00000234389,Lung,1.03214e-42
ENSG00000226752,Lung,3.67761e-42
ENSG00000216901,Lung,8.71217e-42
ENSG00000179428,Lung,1.89734e-39
ENSG00000175164,Lung,7.18669e-38
ENSG00000187987,Lung,1.20068e-37
ENSG00000142606,Lung,1.93142e-37
ENSG00000166275,Lung,2.00964e-37
ENSG00000139531,Lung,2.21503e-37
ENSG00000214435,Lung,1.36715e-35
ENSG00000247556,Lung,1.16798e-33
ENSG00000251405,Lung,1.67333e-31
ENSG00000272462,Lung,1.89059e-30
ENSG00000168395,Lung,2.52251e-30
ENSG00000143631,Lung,6.33322e-30
ENSG00000137806,Lung,2.05357e-29
ENSG00000172992,Lung,3.38929e-29
ENSG00000169442,Lung,7.32214e-27
ENSG00000235109,Lung,4.64424e-26
ENSG00000197915,Lung,2.66965e-25
ENSG00000197375,Lung,3.14531e-25
ENSG00000135541,Lung,3.29491e-25
ENSG00000073584,Lung,4.01346e-25
ENSG00000172543,Lung,5.68723e-25
ENSG00000188895,Lung,6.17442e-25
ENSG00000172803,Lung,8.07685e-25
ENSG00000134824,Lung,9.10853e-25
ENSG00000182134,Lung,1.27279e-24
ENSG00000161395,Lung,3.84718e-24
ENSG00000172057,Lung,6.66243e-24
ENSG00000100147,Lung,1.10691e-23
ENSG00000105889,Lung,1.35867e-22
ENSG00000073605,Lung,1.48118e-22
ENSG00000136448,Lung,2.23723e-21
ENSG00000113522,Lung,7.93881e-21
ENSG00000142655,Lung,2.61952e-20
ENSG00000173295,Lung,2.85405e-20
ENSG00000197062,Lung,1.12842e-19
ENSG00000253893,Lung,1.45542e-19
ENSG00000157837,Lung,2.7594e-19
ENSG00000163239,Lung,2.96998e-19
ENSG00000162944,Lung,4.90776e-19
ENSG00000197251,Lung,4.94884e-19
ENSG00000111328,Lung,4.97299e-19
ENSG00000233006,Lung,6.05951e-19
ENSG00000026950,Lung,8.0909e-19
ENSG00000261186,Lung,3.25941e-18
ENSG00000127241,Lung,8.24578e-18
ENSG00000103351,Lung,9.31803e-18
ENSG00000182511,Lung,9.76101e-18
ENSG00000230373,Lung,1.40373e-17
ENSG00000135074,Lung,1.50254e-17
ENSG00000115604,Lung,2.68559e-17
ENSG00000108784,Lung,6.23622e-17
ENSG00000100412,Lung,8.17257e-17
ENSG00000248544,Lung,9.91282e-17
ENSG00000213171,Lung,1.31912e-16
ENSG00000184068,Lung,1.67267e-16
ENSG00000235351,Lung,5.60642e-16
ENSG00000142599,Lung,9.37386e-16
ENSG00000214659,Lung,1.16708e-15
ENSG00000181315,Lung,1.33744e-15
ENSG00000008838,Lung,2.03783e-15
ENSG00000204713,Lung,2.35982e-15
ENSG00000241549,Lung,4.18891e-15
ENSG00000161798,Lung,5.99245e-15
ENSG00000169220,Lung,6.30525e-15
ENSG00000166507,Lung,1.51254e-14
ENSG00000178852,Lung,3.41e-14
ENSG00000233609,Lung,4.1022e-14
ENSG00000158062,Lung,4.65001e-14
ENSG00000232912,Lung,5.03975e-14
ENSG00000161896,Lung,8.66111e-14
ENSG00000198917,Lung,9.44388e-14
ENSG00000030110,Lung,1.74696e-13
ENSG00000234084,Lung,2.36923e-13
ENSG00000186952,Lung,2.7796e-13
ENSG00000104936,Lung,6.66469e-13
ENSG00000178445,Lung,1.79522e-12
ENSG00000175643,Lung,2.49981e-12
ENSG00000198933,Lung,2.60153e-12
ENSG00000157870,Lung,3.75813e-12
ENSG00000158869,Lung,6.27521e-12
ENSG00000174080,Lung,7.5657e-12
ENSG00000197712,Lung,8.85341e-12
ENSG00000141744,Lung,1.03947e-11
ENSG00000175334,Lung,1.05153e-11
ENSG00000236493,Lung,1.48815e-11
ENSG00000188878,Lung,2.46076e-11
ENSG00000137764,Lung,2.7702e-11
ENSG00000157895,Lung,5.03608e-11
ENSG00000257949,Lung,5.07341e-11
ENSG00000182196,Lung,6.86906e-11
ENSG00000234336,Lung,7.66734e-11
ENSG00000184361,Lung,8.15924e-11
ENSG00000154822,Lung,9.78884e-11
ENSG00000134987,Lung,1.04322e-10
ENSG00000261644,Lung,1.64911e-10
ENSG00000236785,Lung,1.71475e-10
ENSG00000203896,Lung,1.95668e-10
ENSG00000176700,Lung,2.30622e-10
ENSG00000197536,Lung,2.88142e-10
ENSG00000256092,Lung,3.85774e-10
ENSG00000173992,Lung,4.42173e-10
ENSG00000111801,Lung,4.86079e-10
ENSG00000103599,Lung,4.89776e-10
ENSG00000163946,Lung,5.06382e-10
ENSG00000138468,Lung,5.15946e-10
ENSG00000100197,Lung,5.52082e-10
ENSG00000214425,Lung,5.9527e-10
ENSG00000112514,Lung,6.35378e-10
ENSG00000182952,Lung,7.22312e-10
ENSG00000150967,Lung,9.98374e-10
ENSG00000092929,Lung,1.15742e-09
ENSG00000108797,Lung,1.8077e-09
ENSG00000136930,Lung,2.05821e-09
ENSG00000141295,Lung,2.08053e-09
ENSG00000219392,Lung,2.09028e-09
ENSG00000255422,Lung,2.20961e-09
ENSG00000214401,Lung,2.31706e-09
ENSG00000124508,Lung,2.34454e-09
ENSG00000248746,Lung,2.73353e-09
ENSG00000124613,Lung,3.05066e-09
ENSG00000255557,Lung,3.51908e-09
ENSG00000167083,Lung,3.63368e-09
ENSG00000038532,Lung,4.73674e-09
ENSG00000196236,Lung,4.89714e-09
ENSG00000225948,Lung,5.71715e-09
ENSG00000101216,Lung,5.79937e-09
ENSG00000115616,Lung,7.75616e-09
ENSG00000204381,Lung,1.03049e-08
ENSG00000269609,Lung,1.16469e-08
ENSG00000100418,Lung,1.28939e-08
ENSG00000264070,Lung,1.41764e-08
ENSG00000023892,Lung,1.43936e-08
ENSG00000104147,Lung,1.45456e-08
ENSG00000122971,Lung,1.56609e-08
ENSG00000225151,Lung,1.74804e-08
ENSG00000179639,Lung,1.89725e-08
ENSG00000259940,Lung,2.07025e-08
ENSG00000143376,Lung,2.44803e-08
ENSG00000228804,Lung,3.08853e-08
ENSG00000131437,Lung,4.60276e-08
