Category	GeneSet	N_genes	N_overlap	p	adjP	genes	link
Curated_gene_sets	NIKOLSKY_BREAST_CANCER_17Q11_Q21_AMPLICON	124	25	1.45E-20	9.45E-17	FBXL20:MED1:CDK12:NEUROD2:PPP1R1B:STARD3:TCAP:PNMT:PGAP3:ERBB2:MIEN1:GRB7:IKZF3:ZPBP2:GSDMB:ORMDL3:GSDMA:PSMD3:CSF3:THRA:NR1D1:MSL1:RAPGEFL1:WIPF2:RARA	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/NIKOLSKY_BREAST_CANCER_17Q11_Q21_AMPLICON
Curated_gene_sets	WP_INFLAMMATORY_BOWEL_DISEASE_SIGNALING	43	12	2.34E-12	6.34E-09	RORC:IL18RAP:IL21:IL13:IL4:IL6:GATA3:STAT6:RORA:IL4R:IL21R:NOD2	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_INFLAMMATORY_BOWEL_DISEASE_SIGNALING
Curated_gene_sets	REACTOME_MEIOTIC_RECOMBINATION	55	13	2.93E-12	6.34E-09	HIST2H4A:HIST2H4B:RAD50:HIST1H3A:HIST1H4A:HIST1H4B:HIST1H3B:HIST1H2BB:HIST1H3C:HIST1H4C:HIST1H2BC:HIST1H2AC:HIST1H2BE:HIST1H4D:HIST1H3D:HIST1H2AD:HIST1H2BF:HIST1H4E:HIST1H2BG:HIST1H3E:HIST1H4F:HIST1H3F:HIST1H3G:HIST1H2BI:HIST1H4H:HIST1H4I:HIST1H2BL:HIST1H3H:HIST1H2AJ:HIST1H2BM:HIST1H4J:HIST1H4K:HIST1H3I:HIST1H4L:HIST1H3J:HIST4H4:CDK2:RAD51:PSMC3IP	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_MEIOTIC_RECOMBINATION
Curated_gene_sets	FARMER_BREAST_CANCER_CLUSTER_8	6	6	1.62E-11	2.63E-08	MED1:PNMT:PGAP3:ERBB2:GRB7:GSDMB	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/FARMER_BREAST_CANCER_CLUSTER_8
Curated_gene_sets	REACTOME_SIGNALING_BY_INTERLEUKINS	447	30	4.66E-11	6.05E-08	RORC:POU2F1:IL1RL1:IL18R1:IL18RAP:IL21:IL7R:IL3:CSF2:IL13:IL4:HIST1H3A:HIST1H3B:HIST1H3C:HIST1H3D:HIST1H3E:HIST1H3F:HIST1H3G:HIST1H3H:HIST1H3I:HIST1H3J:IL6:IL33:PSMB7:IL2RA:GATA3:CFL1:PPP2R1B:STAT6:RORA:SMAD3:IL4R:IL21R:NOD2:PSMD3:CSF3:STAT5B:BCL2:RBX1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_SIGNALING_BY_INTERLEUKINS
Curated_gene_sets	REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	35	10	1.26E-10	1.37E-07	HIST2H4A:HIST2H4B:HIST1H3A:HIST1H4A:HIST1H4B:HIST1H3B:HIST1H2BB:HIST1H3C:HIST1H4C:HIST1H2BC:HIST1H2AC:HIST1H2BE:HIST1H4D:HIST1H3D:HIST1H2AD:HIST1H2BF:HIST1H4E:HIST1H2BG:HIST1H3E:HIST1H4F:HIST1H3F:HIST1H3G:HIST1H2BI:HIST1H4H:HIST1H4I:HIST1H2BL:HIST1H3H:HIST1H2AJ:HIST1H2BM:HIST1H4J:HIST1H4K:HIST1H3I:HIST1H4L:HIST1H3J:KDM4C:HIST4H4	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3
Curated_gene_sets	REACTOME_DEPOSITION_OF_NEW_CENPA_CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE	52	11	5.15E-10	4.60E-07	HIST2H4A:HIST2H4B:RUVBL1:HIST1H4A:HIST1H4B:HIST1H2BB:HIST1H4C:HIST1H2BC:HIST1H2AC:HIST1H2BE:HIST1H4D:HIST1H2AD:HIST1H2BF:HIST1H4E:HIST1H2BG:HIST1H4F:HIST1H2BI:HIST1H4H:HIST1H4I:HIST1H2BL:HIST1H2AJ:HIST1H2BM:HIST1H4J:HIST1H4K:HIST1H4L:HIST4H4:CASC5:OIP5	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_DEPOSITION_OF_NEW_CENPA_CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE
Curated_gene_sets	WP_TH17_CELL_DIFFERENTIATION_PATHWAY	67	12	6.49E-10	4.60E-07	RORC:IL21:IL4:IL6:IL2RA:GATA3:STAT6:RORA:IL4R:IL21R:NR1D1:RARA	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_TH17_CELL_DIFFERENTIATION_PATHWAY
Curated_gene_sets	REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES	41	10	7.09E-10	4.60E-07	HIST2H4A:HIST2H4B:HIST1H3A:HIST1H4A:HIST1H4B:HIST1H3B:HIST1H2BB:HIST1H3C:HIST1H4C:HIST1H2BC:HIST1H2AC:HIST1H2BE:HIST1H4D:HIST1H3D:HIST1H2AD:HIST1H2BF:HIST1H4E:HIST1H2BG:HIST1H3E:HIST1H4F:HIST1H3F:HIST1H3G:HIST1H2BI:HIST1H4H:HIST1H4I:HIST1H2BL:HIST1H3H:HIST1H2AJ:HIST1H2BM:HIST1H4J:HIST1H4K:HIST1H3I:HIST1H4L:HIST1H3J:HIST4H4:SETD8	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES
Curated_gene_sets	REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA	41	10	7.09E-10	4.60E-07	HIST2H4A:HIST2H4B:HIST1H3A:HIST1H4A:HIST1H4B:HIST1H3B:HIST1H2BB:HIST1H3C:HIST1H4C:HIST1H2BC:HIST1H2AC:HIST1H2BE:HIST1H4D:HIST1H3D:HIST1H2AD:HIST1H2BF:HIST1H4E:HIST1H2BG:HIST1H3E:HIST1H4F:HIST1H3F:HIST1H3G:HIST1H2BI:HIST1H4H:HIST1H4I:HIST1H2BL:HIST1H3H:HIST1H2AJ:HIST1H2BM:HIST1H4J:HIST1H4K:HIST1H3I:HIST1H4L:HIST1H3J:PHF1:HIST4H4	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA
Curated_gene_sets	REACTOME_DNA_METHYLATION	32	9	1.27E-09	6.79E-07	HIST2H4A:HIST2H4B:HIST1H3A:HIST1H4A:HIST1H4B:HIST1H3B:HIST1H2BB:HIST1H3C:HIST1H4C:HIST1H2BC:HIST1H2AC:HIST1H2BE:HIST1H4D:HIST1H3D:HIST1H2AD:HIST1H2BF:HIST1H4E:HIST1H2BG:HIST1H3E:HIST1H4F:HIST1H3F:HIST1H3G:HIST1H2BI:HIST1H4H:HIST1H4I:HIST1H2BL:HIST1H3H:HIST1H2AJ:HIST1H2BM:HIST1H4J:HIST1H4K:HIST1H3I:HIST1H4L:HIST1H3J:HIST4H4	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_DNA_METHYLATION
Curated_gene_sets	REACTOME_MEIOSIS	87	13	1.30E-09	6.79E-07	HIST2H4A:HIST2H4B:RAD50:HIST1H3A:HIST1H4A:HIST1H4B:HIST1H3B:HIST1H2BB:HIST1H3C:HIST1H4C:HIST1H2BC:HIST1H2AC:HIST1H2BE:HIST1H4D:HIST1H3D:HIST1H2AD:HIST1H2BF:HIST1H4E:HIST1H2BG:HIST1H3E:HIST1H4F:HIST1H3F:HIST1H3G:HIST1H2BI:HIST1H4H:HIST1H4I:HIST1H2BL:HIST1H3H:HIST1H2AJ:HIST1H2BM:HIST1H4J:HIST1H4K:HIST1H3I:HIST1H4L:HIST1H3J:HIST4H4:CDK2:RAD51:PSMC3IP	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_MEIOSIS
Curated_gene_sets	ZHENG_BOUND_BY_FOXP3	485	29	1.45E-09	6.79E-07	CADM3:PTPRC:KLF3:FAM105A:IL7R:CAMK4:ADAM19:ABT1:PGBD1:SESN1:THEMIS:TNFAIP3:HIVEP2:ZC3H12D:SGK223:IL2RA:GATA3:UBAC2:CASC5:SMAD3:RMI2:NSMCE1:ZPBP2:STAT5B:HEXIM1:POLI:BCL2:KLF2:ZNF217	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/ZHENG_BOUND_BY_FOXP3
Curated_gene_sets	REACTOME_TRANSCRIPTIONAL_REGULATION_OF_GRANULOPOIESIS	57	11	1.46E-09	6.79E-07	HIST2H4A:HIST2H4B:HIST1H3A:HIST1H4A:HIST1H4B:HIST1H3B:HIST1H2BB:HIST1H3C:HIST1H4C:HIST1H2BC:HIST1H2AC:HIST1H2BE:HIST1H4D:HIST1H3D:HIST1H2AD:HIST1H2BF:HIST1H4E:HIST1H2BG:HIST1H3E:HIST1H4F:HIST1H3F:HIST1H3G:HIST1H2BI:HIST1H4H:HIST1H4I:HIST1H2BL:HIST1H3H:HIST1H2AJ:HIST1H2BM:HIST1H4J:HIST1H4K:HIST1H3I:HIST1H4L:HIST1H3J:HIST4H4:CDK2:RARA	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_TRANSCRIPTIONAL_REGULATION_OF_GRANULOPOIESIS
Curated_gene_sets	WP_17Q12_COPY_NUMBER_VARIATION_SYNDROME	90	13	2.00E-09	8.67E-07	FBXL20:MED1:CDK12:NEUROD2:PPP1R1B:STARD3:TCAP:PNMT:PGAP3:ERBB2:MIEN1:GRB7:IKZF3	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_17Q12_COPY_NUMBER_VARIATION_SYNDROME
